Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.08    0.00  270000/270000      IRXARIOP [6]
[18]     4.2    0.08    0.00  270000         num_mul [18]
                0.00    0.00  270000/1250207     num_round [51]
                0.00    0.00  270000/13352246     num_alloc [22]
                0.00    0.00  270000/1250221     work_alloc [58]
                0.00    0.00  270000/1250221     work_free [59]
-----------------------------------------------
                0.03    0.05 1250205/1250205     IRXARIOP [6]
[19]     3.5    0.03    0.05 1250205         num_to_lstr [19]
                0.04    0.00 1250205/1250205     num_format [26]
                0.00    0.00 2500410/31706132     irxstor [24]
                0.00    0.00 1250205/46576635     Lfx [20]
                0.00    0.00 1250205/1250209     IRXLSINI [103]
-----------------------------------------------
                0.00    0.00       2/46576635     IRXARIFM [82]
                0.00    0.00     400/46576635     bif_time [76]
                0.00    0.00  140000/46576635     bif_address [68]
                0.00    0.00  140000/46576635     bif_trace [69]
                0.00    0.00  280000/46576635     long_to_lstr [67]
                0.00    0.00  280000/46576635     lstr_copy [52]
                0.00    0.00  280000/46576635     Lword [64]
                0.00    0.00  420001/46576635     Lsubstr [62]
                0.00    0.00  560012/46576635     Lcat [61]
                0.00    0.00 1120013/46576635     Lstrcat [60]
                0.00    0.00 1250205/46576635     num_to_lstr [19]
                0.00    0.00 2520002/46576635     pframe_assign [15]
                0.02    0.01 19572926/46576635     Lstrcpy [25]
                0.02    0.01 20013074/46576635     slot_set_buf [21]
[20]     3.2    0.04    0.02 46576635         Lfx [20]
                0.02    0.00 4620343/4620509     rexx_lstr_alloc [32]
                0.00    0.00       8/4620509     rexx_lstr_dealloc [33]
                0.00    0.00 4620343/4620343     round_capacity [110]
-----------------------------------------------
                0.00    0.00  140200/20013074     try_arith_fast [63]
                0.01    0.01 7511828/20013074     slot_set_bool [30]
                0.02    0.02 12361046/20013074     IRXBEXEC [3]
[21]     3.1    0.04    0.03 20013074         slot_set_buf [21]
                0.02    0.01 20013074/46576635     Lfx [20]
-----------------------------------------------
                0.00    0.00       4/13352246     num_div_impl [80]
                0.00    0.00  270000/13352246     num_mul [18]
                0.00    0.00  280001/13352246     sub_magnitudes [55]
                0.00    0.00  700200/13352246     add_magnitudes [35]
                0.03    0.02 12102041/13352246     num_from_str [8]
[22]     2.6    0.03    0.02 13352246         num_alloc [22]
                0.02    0.00 13352246/31706132     irxstor [24]
-----------------------------------------------
                                                 <spontaneous>
[23]     2.5    0.05    0.00                 _init [23]
-----------------------------------------------
                0.00    0.00       1/31706132     init_wkblk_int [105]
                0.00    0.00       1/31706132     IRXINITC [38]
                0.00    0.00       1/31706132     IRXITERM [97]
                0.00    0.00       1/31706132     IRXBIFCR [104]
                0.00    0.00       1/31706132     IRXLSINI [103]
                0.00    0.00       1/31706132     irx_exec_run [1]
                0.00    0.00       2/31706132     init_subcomtb [100]
                0.00    0.00       2/31706132     IRXTOKNF [99]
                0.00    0.00       3/31706132     IRXIINIT [96]
                0.00    0.00       3/31706132     IRXBCOMP [84]
                0.00    0.00       5/31706132     grow_upbuf [93]
                0.00    0.00       7/31706132     stor_free [91]
                0.00    0.00       8/31706132     IRXARIFM [82]
                0.00    0.00       9/31706132     grow_tokens [89]
                0.00    0.00      14/31706132     IRXBEXEC [3]
                0.00    0.00      61/31706132     IRXBIFRG [39]
                0.00    0.00      62/31706132     IRXBIFDS [81]
                0.00    0.00     303/31706132     rexx_lstr_alloc_raw [77]
                0.00    0.00     303/31706132     rexx_lstr_dealloc_raw [78]
                0.00    0.00 1250221/31706132     work_alloc [58]
                0.00    0.00 1250221/31706132     work_free [59]
                0.00    0.00 2500410/31706132     num_to_lstr [19]
                0.02    0.00 13352246/31706132     num_alloc [22]
                0.02    0.00 13352246/31706132     num_free [14]
[24]     2.5    0.05    0.00 31706132         irxstor [24]
-----------------------------------------------
                0.00    0.00  280000/19572926     IRXPARBA [45]
                0.00    0.00 1260002/19572926     IRXBEXEC [3]
                0.01    0.01 5510786/19572926     VPOOLSTB [13]
                0.01    0.02 12522138/19572926     VPOOLGTB [5]
[25]     2.4    0.02    0.03 19572926         Lstrcpy [25]
                0.02    0.01 19572926/46576635     Lfx [20]
-----------------------------------------------
                0.04    0.00 1250205/1250205     num_to_lstr [19]
[26]     2.0    0.04    0.00 1250205         num_format [26]
-----------------------------------------------
                0.00    0.04  980201/980201      IRXARIOP [6]
[27]     1.8    0.00    0.04  980201         num_addsub [27]
                0.02    0.00  700200/700200      add_magnitudes [35]
                0.00    0.00  980201/1250207     num_round [51]
                0.00    0.00  280001/280001      sub_magnitudes [55]
                0.00    0.00  280001/4520815     mag_compare [29]
-----------------------------------------------
                0.00    0.00  140000/18172760     vpool_drop [57]
                0.01    0.00 5510622/18172760     VPOOLSTB [13]
                0.02    0.00 12522138/18172760     VPOOLGTB [5]
[28]     1.8    0.04    0.00 18172760         matches_exposed_stem [28]
-----------------------------------------------
                0.00    0.00  280001/4520815     num_addsub [27]
                0.03    0.00 4240814/4520815     IRXARICM [4]
[29]     1.8    0.04    0.00 4520815         mag_compare [29]
-----------------------------------------------
                0.01    0.02 7511828/7511828     IRXBEXEC [3]
[30]     1.7    0.01    0.02 7511828         slot_set_bool [30]
                0.01    0.01 7511828/20013074     slot_set_buf [21]
-----------------------------------------------
                0.00    0.00  280001/12932248     sub_magnitudes [55]
                0.00    0.00 1250207/12932248     num_round [51]
                0.03    0.00 11402040/12932248     num_from_str [8]
[31]     1.5    0.03    0.00 12932248         num_strip_trailing [31]
-----------------------------------------------
                0.00    0.00     166/4620509     vp_alloc_raw [72]
                0.02    0.00 4620343/4620509     Lfx [20]
[32]     1.3    0.03    0.00 4620509         rexx_lstr_alloc [32]
                0.00    0.00     303/303         rexx_lstr_alloc_raw [77]
-----------------------------------------------
                0.00    0.00       8/4620509     Lfx [20]
                0.00    0.00     166/4620509     vp_free_raw [73]
                0.02    0.00 4620335/4620509     Lfree [34]
[33]     1.3    0.03    0.00 4620509         rexx_lstr_dealloc [33]
